step,epoch,train_loss,val_acc,val_loss,train_acc
15833,57,,,,0.8960055112838745
15849,58,0.3613632619380951,,,
15899,58,0.21257314085960388,,,
15949,58,0.18114690482616425,,,
15999,58,0.15368907153606415,,,
16049,58,0.19884581863880157,,,
16099,58,0.2382970154285431,,,
16106,58,,0.879650890827179,0.31422773003578186,
16106,58,,,,0.8974977135658264
16149,59,0.511055588722229,,,
16199,59,0.2606729567050934,,,
16249,59,0.15904489159584045,,,
16299,59,0.26100650429725647,,,
16349,59,0.42905518412590027,,,
16379,59,,0.8860817551612854,0.30801957845687866,
16379,59,,,,0.8960055112838745
